S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1515,2015-04-20,18,6779.00,3792440.00,565.00,557.00,561.00
1516,2015-04-19,34,8152.00,4556308.00,565.00,555.00,555.00
1517,2015-04-16,29,10515.00,5880279.00,564.00,556.00,560.00
1518,2015-04-15,16,5161.00,2881433.00,560.00,553.00,560.00
1519,2015-04-13,18,8307.00,4642030.00,565.00,555.00,558.00
1520,2015-04-12,34,15367.00,8601448.00,574.00,555.00,563.00
1521,2015-04-09,29,10449.00,5777573.00,555.00,548.00,552.00
1522,2015-04-08,10,3661.00,1997292.00,550.00,545.00,545.00
1523,2015-04-07,5,1426.00,773284.00,544.00,540.00,544.00
1524,2015-04-06,25,6712.00,3629508.00,547.00,538.00,543.00
1525,2015-04-05,34,10548.00,5679784.00,544.00,531.00,540.00
1526,2015-04-02,17,3702.00,2009970.00,550.00,538.00,538.00
1527,2015-04-01,14,2376.00,1293126.00,550.00,540.00,540.00
1528,2015-03-31,21,6290.00,3423075.00,552.00,540.00,550.00
1529,2015-03-30,12,3248.00,1761460.00,549.00,540.00,542.00
1530,2015-03-29,13,3486.00,1900783.00,549.00,544.00,546.00
1531,2015-03-26,20,8132.00,4468079.00,559.00,548.00,550.00
1532,2015-03-25,15,2095.00,1146977.00,550.00,540.00,550.00
1533,2015-03-24,25,14741.00,8039289.00,549.00,543.00,548.00
1534,2015-03-23,18,5016.00,2744195.00,551.00,543.00,548.00
1535,2015-03-22,39,11020.00,6095664.00,564.00,550.00,554.00
1536,2015-03-19,38,10169.00,5638693.00,561.00,550.00,553.00
1537,2015-03-18,19,6626.00,3609272.00,549.00,542.00,547.00
1538,2015-03-17,30,9531.00,5192015.00,555.00,537.00,547.00
1539,2015-03-16,27,11106.00,6082359.00,560.00,543.00,545.00
1540,2015-03-15,7,2940.00,1616420.00,553.00,548.00,553.00
1541,2015-03-12,16,6095.00,3367737.00,558.00,550.00,554.00
1542,2015-03-11,26,6140.00,3400962.00,560.00,545.00,559.00
1543,2015-03-10,22,5802.00,3234948.00,561.00,555.00,556.00
1544,2015-03-09,15,6824.00,3811344.00,564.00,555.00,560.00
1545,2015-03-04,30,9559.00,5330545.00,571.00,552.00,560.00
1546,2015-03-03,17,10004.00,5559487.00,561.00,552.00,556.00
1547,2015-03-02,22,5659.00,3148993.00,560.00,550.00,560.00
1548,2015-03-01,12,4037.00,2215783.00,552.00,543.00,547.00
1549,2015-02-26,35,13704.00,7540970.00,556.00,545.00,550.00
1550,2015-02-25,13,3954.00,2157505.00,550.00,543.00,549.00
1551,2015-02-24,35,11372.00,6232391.00,553.00,544.00,547.00
1552,2015-02-23,45,12571.00,6889356.00,555.00,540.00,550.00
1553,2015-02-22,26,10381.00,5700208.00,562.00,544.00,546.00
1554,2015-02-18,11,3291.00,1837271.00,563.00,556.00,558.00
1555,2015-02-16,21,10074.00,5645067.00,565.00,557.00,562.00
1556,2015-02-15,31,14431.00,8095370.00,569.00,559.00,568.00
1557,2015-02-12,21,7578.00,4260339.00,565.00,560.00,565.00
1558,2015-02-11,24,6122.00,3420865.00,565.00,555.00,562.00
1559,2015-02-10,15,6485.00,3589093.00,558.00,551.00,558.00
1560,2015-02-09,21,5979.00,3333960.00,565.00,550.00,560.00
1561,2015-02-08,57,15291.00,8584794.00,568.00,559.00,564.00
1562,2015-02-05,39,15878.00,8808440.00,559.00,550.00,557.00
1563,2015-02-04,22,10226.00,5766210.00,570.00,560.00,563.00
1564,2015-02-03,18,12760.00,7208531.00,570.00,562.00,570.00
1565,2015-02-02,39,11400.00,6595431.00,583.00,573.00,573.00
1566,2015-02-01,41,13089.00,7614789.00,586.00,578.00,583.00
1567,2015-01-29,36,13152.00,7563281.00,582.00,570.00,578.00
1568,2015-01-28,30,8090.00,4641747.00,578.00,570.00,577.00
1569,2015-01-27,25,8996.00,5097599.00,570.00,565.00,565.00
1570,2015-01-26,46,15315.00,8693425.00,596.00,560.00,565.00
1571,2015-01-25,18,6297.00,3502716.00,562.00,550.00,558.00
1572,2015-01-22,30,12624.00,7000977.00,560.00,549.00,555.00
1573,2015-01-20,46,14741.00,8268894.00,593.00,544.00,560.00
1574,2015-01-19,79,26124.00,14675552.00,580.00,548.00,574.00
1575,2015-01-18,17,4639.00,2514953.00,550.00,538.00,538.00
1576,2015-01-14,25,10127.00,5484107.00,548.00,539.00,539.00
1577,2015-01-13,15,5686.00,3051424.00,546.00,530.00,546.00
1578,2015-01-12,34,14054.00,7520945.00,545.00,530.00,538.00
1579,2015-01-11,31,13750.00,7406158.00,546.00,532.00,542.00
1580,2015-01-08,39,8924.00,4844213.00,570.00,535.00,545.00
1581,2015-01-07,20,6958.00,3731076.00,541.00,529.00,535.00
1582,2015-01-06,40,13664.00,7383809.00,544.00,537.00,539.00
1583,2015-01-05,48,17418.00,9454952.00,550.00,535.00,539.00
1584,2015-01-04,31,14625.00,7842438.00,545.00,529.00,540.00
1585,2015-01-01,22,5190.00,2762022.00,538.00,526.00,526.00
1586,2014-12-31,32,7943.00,4201557.00,536.00,525.00,536.00
1587,2014-12-29,49,23141.00,12290466.00,540.00,520.00,531.00
1588,2014-12-28,41,17192.00,9187048.00,542.00,523.00,540.00
