S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
399,2020-01-19,41,15740.00,2228420.00,144.00,136.00,144.00
400,2020-01-16,25,4810.00,632054.00,136.00,128.00,134.00
401,2020-01-15,12,2410.00,299630.00,126.00,123.00,126.00
402,2020-01-14,4,670.00,82440.00,124.00,122.00,124.00
403,2020-01-13,17,6800.00,851819.00,128.00,122.00,126.00
404,2020-01-12,23,6900.00,846610.00,127.00,121.00,122.00
405,2020-01-09,28,7498.00,915852.00,126.00,120.00,122.00
406,2020-01-07,4,7350.00,875100.00,123.00,118.00,123.00
407,2020-01-06,3,310.00,35450.00,117.00,113.00,117.00
408,2020-01-05,8,570.00,63370.00,115.00,111.00,111.00
409,2020-01-02,6,1310.00,155580.00,122.00,117.00,117.00
410,2020-01-01,1,10.00,1200.00,120.00,120.00,120.00
411,2019-12-31,13,430.00,50770.00,121.00,113.00,118.00
412,2019-12-30,1,10.00,1110.00,111.00,111.00,111.00
413,2019-12-29,2,600.00,65400.00,109.00,109.00,109.00
414,2019-12-26,4,625.00,66875.00,108.00,106.00,107.00
415,2019-12-25,1,100.00,10400.00,104.00,104.00,104.00
416,2019-12-24,1,50.00,5200.00,104.00,104.00,104.00
417,2019-12-23,6,510.00,52850.00,104.00,102.00,104.00
418,2019-10-17,4,1120.00,116480.00,104.00,104.00,104.00
419,2019-10-16,1,25.00,2625.00,105.00,105.00,105.00
420,2019-09-29,1,220.00,23320.00,106.00,106.00,106.00
421,2019-09-26,6,790.00,83630.00,107.00,103.00,105.00
422,2019-09-24,2,410.00,44630.00,109.00,107.00,109.00
423,2019-09-23,1,90.00,9810.00,109.00,109.00,109.00
424,2019-09-22,1,760.00,84360.00,111.00,111.00,111.00
425,2019-09-18,4,450.00,49150.00,111.00,109.00,109.00
426,2019-09-12,2,1930.00,221150.00,115.00,113.00,113.00
427,2019-09-10,2,130.00,15150.00,117.00,115.00,115.00
428,2019-09-10,2,130.00,15150.00,117.00,115.00,115.00
429,2019-09-09,1,164.00,19352.00,118.00,118.00,118.00
430,2019-09-08,2,46.00,5382.00,117.00,117.00,117.00
431,2019-09-03,2,400.00,46400.00,116.00,116.00,116.00
432,2019-09-02,3,140.00,16240.00,116.00,116.00,116.00
433,2019-09-01,2,230.00,26910.00,117.00,117.00,117.00
434,2019-08-29,3,685.00,81430.00,119.00,118.00,119.00
435,2019-08-28,1,100.00,11700.00,117.00,117.00,117.00
436,2019-08-27,2,100.00,11500.00,115.00,115.00,115.00
437,2019-08-25,3,300.00,34800.00,116.00,116.00,116.00
438,2019-08-21,1,60.00,7080.00,118.00,118.00,118.00
439,2019-08-19,1,40.00,4720.00,118.00,118.00,118.00
440,2019-08-14,2,50.00,6040.00,122.00,120.00,120.00
441,2019-08-13,2,150.00,17860.00,120.00,119.00,120.00
442,2019-08-12,1,50.00,5900.00,118.00,118.00,118.00
443,2019-08-11,2,40.00,4680.00,117.00,117.00,117.00
444,2019-08-08,1,90.00,10710.00,119.00,119.00,119.00
445,2019-08-07,1,200.00,24200.00,121.00,121.00,121.00
446,2019-08-06,2,200.00,24200.00,121.00,121.00,121.00
447,2019-08-05,3,160.00,19580.00,123.00,122.00,123.00
448,2019-08-04,12,1010.00,126890.00,129.00,121.00,121.00
449,2019-08-01,10,2690.00,336350.00,127.00,121.00,127.00
450,2019-07-31,4,830.00,102740.00,124.00,122.00,123.00
451,2019-07-30,6,270.00,32850.00,124.00,121.00,124.00
452,2019-07-29,6,2360.00,290310.00,124.00,122.00,122.00
453,2019-07-28,7,710.00,87840.00,124.00,123.00,124.00
454,2019-07-25,1,2000.00,244000.00,122.00,122.00,122.00
455,2019-07-24,5,300.00,36980.00,124.00,122.00,124.00
456,2019-07-23,2,390.00,47210.00,123.00,121.00,123.00
457,2019-07-22,2,120.00,14280.00,119.00,119.00,119.00
458,2019-07-21,3,1150.00,135670.00,119.00,117.00,119.00
459,2019-07-17,3,190.00,22790.00,121.00,119.00,121.00
460,2019-07-16,1,25.00,2975.00,119.00,119.00,119.00
461,2019-07-11,4,290.00,34830.00,121.00,117.00,121.00
462,2019-07-10,13,820.00,98030.00,123.00,119.00,119.00
463,2019-07-09,2,190.00,23750.00,125.00,125.00,125.00
464,2019-07-08,1,10.00,1270.00,127.00,127.00,127.00
465,2019-07-07,10,930.00,112740.00,123.00,120.00,123.00
466,2019-07-04,5,2630.00,317140.00,122.00,120.00,120.00
467,2019-07-02,7,1560.00,183620.00,119.00,117.00,117.00
468,2019-07-01,4,600.00,69750.00,119.00,115.00,119.00
469,2019-06-30,6,600.00,70860.00,120.00,117.00,117.00
470,2019-06-26,1,90.00,10800.00,120.00,120.00,120.00
471,2019-06-24,6,420.00,51240.00,124.00,120.00,120.00
472,2019-06-23,6,2410.00,293000.00,122.00,120.00,122.00
473,2019-06-20,4,1720.00,212380.00,124.00,120.00,120.00
474,2019-06-18,9,1310.00,166210.00,130.00,124.00,124.00
475,2019-06-17,13,2070.00,248500.00,124.00,118.00,124.00
476,2019-06-16,1,10.00,1220.00,122.00,122.00,122.00
477,2019-06-13,11,580.00,70590.00,124.00,119.00,124.00
478,2019-06-12,7,2020.00,249540.00,124.00,118.00,118.00
479,2019-06-11,3,500.00,63600.00,128.00,126.00,126.00
480,2019-06-10,14,1210.00,155590.00,131.00,126.00,126.00
481,2019-06-06,15,1890.00,232720.00,125.00,116.00,125.00
482,2019-06-04,5,2110.00,243840.00,117.00,114.00,114.00
483,2019-06-03,9,1620.00,195620.00,127.00,119.00,119.00
484,2019-06-02,5,1420.00,179760.00,128.00,126.00,126.00
485,2019-05-30,15,3215.00,415920.00,130.00,128.00,128.00
486,2019-05-29,5,690.00,85290.00,126.00,121.00,126.00
487,2019-05-28,9,1040.00,122830.00,120.00,117.00,119.00
488,2019-05-27,20,5210.00,617061.00,120.00,116.00,118.00
489,2019-05-26,12,4390.00,539920.00,125.00,121.00,121.00
490,2019-05-23,31,3120.00,409260.00,137.00,125.00,127.00
491,2019-05-22,106,24615.00,3471480.00,147.00,130.00,136.00
492,2019-05-21,13,11550.00,1547360.00,134.00,124.00,134.00
493,2019-05-20,26,4810.00,584350.00,122.00,116.00,122.00
494,2019-05-19,29,4900.00,506310.00,111.00,99.00,111.00
495,2019-05-16,10,550.00,57120.00,106.00,101.00,101.00
496,2019-05-15,17,4765.00,500505.00,106.00,103.00,105.00
497,2019-05-14,23,2390.00,253930.00,107.00,102.00,105.00
498,2019-05-13,4,250.00,24170.00,98.00,95.00,98.00
499,2019-05-12,1,60.00,5460.00,91.00,91.00,91.00
500,2019-05-09,4,2040.00,183640.00,91.00,90.00,90.00
501,2019-05-08,1,60.00,5460.00,91.00,91.00,91.00
502,2019-05-06,2,120.00,10840.00,91.00,90.00,91.00
503,2019-05-05,2,1200.00,110200.00,92.00,91.00,91.00
504,2019-04-28,4,1100.00,103000.00,95.00,93.00,93.00
505,2019-04-25,2,130.00,12220.00,94.00,94.00,94.00
506,2019-04-24,4,540.00,49730.00,93.00,91.00,93.00
507,2019-04-23,1,40.00,3680.00,92.00,92.00,92.00
508,2019-04-22,2,370.00,34410.00,93.00,93.00,93.00
509,2019-04-17,6,450.00,42530.00,97.00,94.00,94.00
510,2019-04-08,3,130.00,12770.00,99.00,98.00,98.00
511,2019-04-07,1,30.00,2970.00,99.00,99.00,99.00
512,2019-03-31,7,1030.00,100740.00,99.00,97.00,98.00
513,2019-03-26,1,200.00,19600.00,98.00,98.00,98.00
