S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
157,2021-05-05,651,100749.00,17207008.00,174.00,160.00,174.00
158,2021-05-04,257,30285.00,4752492.00,160.00,153.00,159.00
159,2021-05-03,105,9543.00,1480059.00,157.00,153.00,153.00
160,2021-05-02,169,15980.00,2468756.00,156.00,150.00,155.00
161,2021-04-29,87,4090.00,624960.00,154.00,149.00,153.00
162,2021-04-28,74,3261.00,491661.00,153.00,147.00,151.00
163,2021-04-27,106,9409.00,1413405.00,154.00,143.00,153.00
164,2021-04-26,175,20584.00,3007500.00,152.00,144.00,145.00
165,2021-04-25,184,20812.00,3248823.00,161.00,152.00,154.00
166,2021-04-22,221,30720.00,4845024.00,160.00,152.00,158.00
167,2021-04-21,198,23651.00,3700795.00,159.00,154.00,156.00
168,2021-04-20,106,6296.00,956185.00,154.00,149.00,154.00
169,2021-04-19,84,3180.00,485230.00,156.00,151.00,152.00
170,2021-04-18,168,13620.00,2080090.00,155.00,151.00,155.00
171,2021-04-15,128,7084.00,1085469.00,159.00,151.00,153.00
172,2021-04-13,108,5736.00,882447.00,162.00,150.00,153.00
173,2021-04-12,173,11809.00,1789303.00,156.00,149.00,153.00
174,2021-04-08,139,9744.00,1524314.00,164.00,155.00,155.00
175,2021-04-07,209,26949.00,4283984.00,165.00,155.00,157.00
176,2021-04-06,243,24936.00,3856377.00,159.00,148.00,158.00
177,2021-04-05,102,5708.00,861725.00,159.00,149.00,150.00
178,2021-04-04,156,11517.00,1765177.00,156.00,148.00,152.00
179,2021-04-01,139,8181.00,1227101.00,151.00,147.00,150.00
180,2021-03-31,96,6240.00,929790.00,156.00,147.00,149.00
181,2021-03-30,120,10617.00,1589166.00,156.00,147.00,150.00
182,2021-03-29,107,4848.00,716592.00,150.00,145.00,149.00
183,2021-03-25,127,9499.00,1417536.00,153.00,147.00,150.00
184,2021-03-24,136,14552.00,2187943.00,158.00,149.00,150.00
185,2021-03-23,117,7630.00,1170710.00,157.00,150.00,153.00
186,2021-03-22,153,12208.00,1833862.00,157.00,144.00,154.00
187,2021-03-21,130,16862.00,2453635.00,150.00,144.00,145.00
188,2021-03-18,147,14553.00,2171045.00,155.00,147.00,148.00
189,2021-03-17,158,10960.00,1687340.00,162.00,150.00,158.00
190,2021-03-16,337,45499.00,7351310.00,169.00,155.00,155.00
191,2021-03-15,391,54696.00,8404153.00,157.00,145.00,157.00
192,2021-03-14,182,17438.00,2478556.00,149.00,138.00,144.00
193,2021-03-10,100,7464.00,1073268.00,147.00,141.00,143.00
194,2021-03-09,94,5579.00,803148.00,148.00,140.00,142.00
195,2021-03-07,95,6675.00,951545.00,149.00,140.00,142.00
196,2021-03-04,168,10765.00,1547460.00,147.00,139.00,145.00
197,2021-03-03,82,5155.00,718125.00,141.00,138.00,141.00
198,2021-03-02,110,6755.00,971165.00,150.00,140.00,143.00
199,2021-03-01,133,15185.00,2152045.00,146.00,134.00,146.00
200,2021-02-28,140,11972.00,1720328.00,149.00,142.00,142.00
201,2021-02-25,150,15300.00,2326579.00,155.00,150.00,150.00
202,2021-02-24,185,16674.00,2603957.00,164.00,152.00,156.00
203,2021-02-23,439,61023.00,9753245.00,179.00,149.00,154.00
204,2021-02-22,339,53053.00,8657398.00,165.00,155.00,165.00
205,2021-02-21,369,43657.00,6394508.00,150.00,143.00,150.00
206,2021-02-18,152,11588.00,1643416.00,144.00,139.00,142.00
207,2021-02-17,96,4788.00,681072.00,145.00,140.00,141.00
208,2021-02-16,139,10541.00,1512073.00,150.00,140.00,145.00
209,2021-02-15,160,12220.00,1775285.00,147.00,143.00,143.00
210,2021-02-14,213,26759.00,3848767.00,147.00,140.00,143.00
211,2021-02-11,116,6415.00,900414.00,145.00,138.00,138.00
212,2021-02-10,197,24102.00,3497488.00,148.00,142.00,143.00
213,2021-02-09,388,51188.00,7308821.00,148.00,135.00,144.00
214,2021-02-08,172,16345.00,2263518.00,140.00,136.00,137.00
215,2021-02-07,191,13580.00,1893577.00,144.00,136.00,139.00
216,2021-02-04,185,16309.00,2266598.00,140.00,132.00,140.00
217,2021-02-03,154,15286.00,2081958.00,139.00,132.00,136.00
218,2021-02-02,132,8756.00,1190414.00,142.00,134.00,136.00
219,2021-02-01,124,6172.00,852516.00,145.00,133.00,137.00
220,2021-01-31,106,6105.00,838835.00,147.00,131.00,135.00
221,2021-01-28,131,6201.00,860325.00,144.00,134.00,140.00
222,2021-01-27,141,11397.00,1606757.00,147.00,133.00,139.00
223,2021-01-26,176,18038.00,2557673.00,148.00,138.00,141.00
224,2021-01-25,322,37335.00,5368400.00,147.00,130.00,143.00
225,2021-01-24,200,25824.00,3567322.00,147.00,134.00,136.00
226,2021-01-21,205,11815.00,1582262.00,136.00,130.00,135.00
227,2021-01-20,97,3980.00,520258.00,132.00,129.00,132.00
228,2021-01-19,124,11348.00,1526968.00,140.00,129.00,133.00
229,2021-01-18,142,11540.00,1515471.00,134.00,127.00,133.00
230,2021-01-17,118,9460.00,1218570.00,132.00,124.00,127.00
231,2021-01-13,124,5050.00,645930.00,131.00,124.00,129.00
232,2021-01-12,106,6127.00,768124.00,131.00,123.00,125.00
233,2021-01-11,131,10410.00,1313400.00,128.00,125.00,126.00
234,2021-01-10,118,4880.00,617500.00,128.00,126.00,126.00
235,2021-01-07,139,5389.00,692871.00,130.00,126.00,128.00
236,2021-01-06,253,22826.00,3082278.00,140.00,126.00,128.00
237,2021-01-05,215,21454.00,2735422.00,130.00,119.00,130.00
238,2021-01-04,97,3855.00,462285.00,121.00,118.00,119.00
239,2021-01-03,139,6400.00,761570.00,122.00,116.00,119.00
240,2020-12-31,124,7291.00,865180.00,120.00,116.00,119.00
241,2020-12-30,98,2718.00,322112.00,123.00,117.00,119.00
242,2020-12-29,103,2740.00,325870.00,121.00,116.00,121.00
243,2020-12-28,124,4642.00,567454.00,126.00,117.00,120.00
244,2020-12-27,103,5320.00,629190.00,128.00,115.00,121.00
245,2020-12-24,117,3642.00,436718.00,123.00,117.00,120.00
246,2020-12-23,101,3675.00,450960.00,125.00,121.00,122.00
247,2020-12-22,155,10975.00,1351053.00,126.00,121.00,124.00
248,2020-12-21,151,9130.00,1078530.00,124.00,110.00,124.00
249,2020-12-20,165,9575.00,1169265.00,128.00,120.00,120.00
250,2020-12-17,137,4320.00,562460.00,132.00,129.00,130.00
251,2020-12-16,146,6112.00,804636.00,134.00,127.00,133.00
252,2020-12-15,128,4415.00,590785.00,137.00,133.00,133.00
253,2020-12-14,164,4715.00,633940.00,140.00,132.00,135.00
254,2020-12-13,152,6030.00,815870.00,139.00,131.00,136.00
255,2020-12-10,191,10201.00,1354497.00,148.00,127.00,141.00
256,2020-12-09,206,11970.00,1625350.00,139.00,134.00,136.00
257,2020-12-08,225,16125.00,2242295.00,142.00,134.00,141.00
258,2020-12-07,220,15248.00,2038318.00,142.00,127.00,140.00
259,2020-12-06,173,8750.00,1181050.00,138.00,134.00,134.00
260,2020-12-03,243,21686.00,3037116.00,144.00,138.00,140.00
261,2020-12-02,222,11074.00,1622509.00,153.00,144.00,145.00
262,2020-12-01,270,19751.00,2908812.00,154.00,144.00,146.00
263,2020-11-30,329,34494.00,5065574.00,151.00,145.00,151.00
264,2020-11-29,496,66496.00,10600326.00,176.00,144.00,150.00
265,2020-11-26,272,18303.00,2925010.00,160.00,153.00,160.00
266,2020-11-25,216,16100.00,2348920.00,146.00,139.00,146.00
267,2020-11-24,518,60595.00,7888611.00,133.00,121.00,133.00
268,2020-11-23,179,6278.00,758383.00,124.00,120.00,121.00
269,2020-11-22,175,16181.00,1966509.00,124.00,120.00,122.00
270,2020-11-19,170,9134.00,1110720.00,129.00,118.00,122.00
271,2020-11-18,99,9579.00,1154481.00,123.00,119.00,120.00
272,2020-11-12,128,8340.00,1044070.00,132.00,122.00,124.00
273,2020-11-11,127,4152.00,517458.00,128.00,124.00,126.00
274,2020-11-10,148,7691.00,972192.00,129.00,125.00,126.00
275,2020-11-09,275,34953.00,4537852.00,132.00,128.00,129.00
276,2020-11-08,339,31272.00,3918054.00,128.00,120.00,127.00
277,2020-11-05,229,12593.00,1524818.00,126.00,117.00,120.00
278,2020-11-04,186,10997.00,1327421.00,124.00,115.00,120.00
279,2020-11-03,185,5830.00,682690.00,119.00,116.00,116.00
280,2020-11-02,169,5625.00,659880.00,120.00,113.00,118.00
281,2020-11-01,207,11505.00,1355225.00,123.00,115.00,118.00
282,2020-10-29,184,9870.00,1165079.00,122.00,114.00,118.00
283,2020-10-28,154,14203.00,1647340.00,120.00,113.00,120.00
284,2020-10-22,117,4520.00,540450.00,122.00,114.00,121.00
285,2020-10-21,132,10004.00,1213923.00,129.00,119.00,121.00
286,2020-10-20,180,18519.00,2264344.00,130.00,117.00,127.00
287,2020-10-19,146,6765.00,786433.00,121.00,108.00,121.00
288,2020-10-18,152,7193.00,791500.00,112.00,107.00,112.00
289,2020-10-15,155,9162.00,1055669.00,123.00,112.00,112.00
290,2020-10-14,235,16437.00,1841696.00,118.00,108.00,118.00
291,2020-10-13,229,12175.00,1412081.00,122.00,112.00,116.00
292,2020-10-12,297,22075.00,2615500.00,122.00,113.00,120.00
293,2020-10-11,371,17918.00,2189814.00,127.00,118.00,121.00
294,2020-10-08,689,36986.00,5000930.00,144.00,124.00,128.00
295,2020-10-07,512,29325.00,3862085.00,133.00,121.00,133.00
296,2020-10-06,536,43617.00,5174408.00,122.00,110.00,121.00
297,2020-10-05,359,17895.00,2040025.00,119.00,109.00,113.00
298,2020-10-04,387,30607.00,3393559.00,123.00,107.00,115.00
299,2020-10-01,744,25330.00,3087400.00,132.00,115.00,118.00
300,2020-09-30,792,32137.00,3847366.00,122.00,109.00,122.00
301,2020-09-29,533,27065.00,2865345.00,111.00,95.00,111.00
302,2020-09-28,224,9986.00,992292.00,103.00,98.00,101.00
303,2020-09-27,425,28994.00,2895200.00,105.00,96.00,105.00
304,2020-09-24,356,26553.00,2494720.00,96.00,89.00,96.00
305,2020-09-23,165,14401.00,1169843.00,88.00,74.00,88.00
306,2020-09-22,154,8280.00,669590.00,87.00,80.00,81.00
307,2020-09-21,252,10530.00,908667.00,92.00,83.00,88.00
308,2020-09-20,304,25870.00,2439130.00,99.00,82.00,92.00
309,2020-09-17,84,5240.00,471420.00,90.00,86.00,90.00
310,2020-09-16,145,16135.00,1320509.00,82.00,76.00,82.00
311,2020-09-15,88,5805.00,433875.00,75.00,70.00,75.00
312,2020-09-14,89,11285.00,762630.00,69.00,64.00,69.00
313,2020-09-13,62,1370.00,87300.00,66.00,62.00,63.00
314,2020-09-10,82,5215.00,347230.00,68.00,65.00,66.00
315,2020-09-09,97,10260.00,660280.00,66.00,62.00,66.00
316,2020-09-08,59,2015.00,126430.00,68.00,61.00,63.00
317,2020-09-07,109,9287.00,596280.00,67.00,61.00,67.00
318,2020-09-06,89,9200.00,575440.00,64.00,60.00,63.00
319,2020-09-03,183,12161.00,748100.00,64.00,59.00,60.00
320,2020-09-02,101,9075.00,522865.00,59.00,54.00,59.00
321,2020-08-31,70,3923.00,214755.00,57.00,50.00,54.00
